Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
Todd Gurley,RB,7300,Chi@StL 01:00PM ET,20.7,StL,24.0,17.7,19.37,17.1,23.84,18.06,18.251,19.7601428571,24.0,17.1,6.9,0.349187758909
Adrian Peterson,RB,7100,Min@Oak 04:05PM ET,17.538,Min,17.0,23.8,14.94,24.0,16.57,16.27,20.3,18.9828571429,24.0,14.94,9.06,0.477272727273
Alshon Jeffery,WR,7100,Chi@StL 01:00PM ET,25.8,Chi,20.5,23.2,17.36,20.7,18.48,16.91,16.804,19.1362857143,23.2,16.804,6.396,0.334234140078
Cam Newton,QB,7000,Car@Ten 01:00PM ET,23.138,Car,21.4,24.94,19.89,25.94,19.822,19.9,20.3484,21.7486285714,25.94,19.822,6.118,0.281305093786
Carson Palmer,QB,6900,Ari@Sea 08:30PM ET,23.28,Ari,17.6,17.06,14.77,18.06,17.702,22.798,17.527,17.931,22.798,14.77,8.028,0.447716245608
Ben Roethlisberger,QB,6800,Cle@Pit 01:00PM ET,19.844,Pit,,,,,,,,,,,,
Matt Forte,RB,6800,Chi@StL 01:00PM ET,17.671,Chi,,,,,,,,,,,,
Mike Evans,WR,6800,Dal@TB 01:00PM ET,14.257,TB,21.0,24.6,15.81,22.3,16.12,23.08,17.127,20.0052857143,24.6,15.81,8.79,0.439383877118
Amari Cooper,WR,6800,Min@Oak 04:05PM ET,17.838,Oak,20.0,25.6,15.29,23.8,16.19,12.48,14.833,18.3132857143,25.6,12.48,13.12,0.716419773311
Eli Manning,QB,6700,NE@NYG 04:25PM ET,19.251,NYG,22.5,17.34,16.59,18.34,18.374,15.24,16.9364,17.9029142857,22.5,15.24,7.26,0.405520569676
Marshawn Lynch,RB,6700,Ari@Sea 08:30PM ET,12.283,Sea,17.5,15.0,14.31,15.7,14.61,16.2,14.121,15.3487142857,17.5,14.121,3.379,0.220148732793
Randall Cobb,WR,6700,Det@GB 01:00PM ET,15.35,GB,22.0,24.8,16.8,22.7,19.11,17.68,15.049,19.7341428571,24.8,15.049,9.751,0.494118243219
Jarvis Landry,WR,6700,Mia@Phi 01:00PM ET,18.17,Mia,21.5,17.6,13.9,16.9,15.15,13.0,17.696,16.5351428571,21.5,13.0,8.5,0.514056641266
Allen Robinson,WR,6700,Jax@Bal 01:00PM ET,19.088,Jax,26.0,18.0,14.71,17.0,18.17,13.85,15.62,17.6214285714,26.0,13.85,12.15,0.689501418727
DeAngelo Williams,RB,6500,Cle@Pit 01:00PM ET,12.244,Pit,21.5,10.1,15.58,11.3,22.21,23.78,17.93,17.4857142857,23.78,10.1,13.68,0.782352941176
Andy Dalton,QB,6500,Hou@Cin 08:30PM ET,22.905,Cin,19.8,17.68,19.51,18.68,20.698,15.296,18.9194,18.6547714286,20.698,15.296,5.402,0.289577388856
Mark Ingram,RB,6400,NO@Was 01:00PM ET,17.667,NO,20.5,12.7,18.32,13.9,18.03,20.76,18.4356,17.5208,20.76,12.7,8.06,0.460024656408
Greg Olsen,TE,6300,Car@Ten 01:00PM ET,16.425,Car,18.5,19.0,13.57,17.5,13.46,10.74,14.255,15.2892857143,19.0,10.74,8.26,0.5402476057
Dion Lewis,RB,6300,NE@NYG 04:25PM ET,17.314,NE,,,,,,,,,,,,
Peyton Manning,QB,6200,KC@Den 04:25PM ET,14.3,Den,18.0,16.9,19.56,17.9,17.116,18.872,17.7602,18.0154571429,19.56,16.9,2.66,0.147650985424
DeMarco Murray,RB,6200,Mia@Phi 01:00PM ET,17.429,Phi,24.0,15.2,15.19,15.8,19.38,14.44,14.981,16.9987142857,24.0,14.44,9.56,0.562395475288
Jordan Matthews,WR,6200,Mia@Phi 01:00PM ET,14.763,Phi,18.0,12.0,13.88,11.0,13.82,13.32,13.525,13.6492857143,18.0,11.0,7.0,0.512847349417
Justin Forsett,RB,6000,Jax@Bal 01:00PM ET,14.425,Bal,18.5,17.7,14.54,17.7,18.22,17.1,14.616,16.9108571429,18.5,14.54,3.96,0.234169088329
Brandin Cooks,WR,6000,NO@Was 01:00PM ET,14.667,NO,21.5,19.1,15.83,18.9,12.72,13.03,14.398,16.4968571429,21.5,12.72,8.78,0.532222587852
Chris Ivory,RB,5900,Buf@NYJ 08:25PM ET,18.343,NYJ,18.0,15.9,12.58,15.7,15.09,16.44,16.4758,15.7408285714,18.0,12.58,5.42,0.344327490475
Russell Wilson,QB,5900,Ari@Sea 08:30PM ET,16.678,Sea,16.7,19.46,16.67,20.46,17.922,18.58,14.9498,17.8202571429,20.46,14.9498,5.5102,0.309209903978
Michael Crabtree,WR,5800,Min@Oak 04:05PM ET,18.138,Oak,19.5,16.2,13.04,15.1,17.57,14.02,13.322,15.536,19.5,13.04,6.46,0.415808444902
Derek Carr,QB,5800,Min@Oak 04:05PM ET,21.133,Oak,18.3,17.54,16.8,18.54,19.448,17.024,17.4934,17.8779142857,19.448,16.8,2.648,0.148115711804
Tyler Eifert,TE,5800,Hou@Cin 08:30PM ET,17.175,Cin,18.0,21.4,15.37,19.7,12.81,9.56,14.868,15.9582857143,21.4,9.56,11.84,0.741934328786
Allen Hurns,WR,5800,Jax@Bal 01:00PM ET,17.938,Jax,18.0,18.8,12.05,17.4,14.05,13.96,10.652,14.9874285714,18.8,10.652,8.148,0.543655635199
Sam Bradford,QB,5700,Mia@Phi 01:00PM ET,15.068,Phi,17.9,8.44,17.27,9.44,15.928,16.524,14.822,14.332,17.9,8.44,9.46,0.660061401061
Latavius Murray,RB,5700,Min@Oak 04:05PM ET,14.675,Oak,11.0,13.2,13.0,13.4,12.44,13.91,15.252,13.1717142857,15.252,11.0,4.252,0.322812954166
Doug Martin,RB,5600,Dal@TB 01:00PM ET,15.888,TB,18.5,13.2,12.93,13.4,15.08,14.44,13.3358,14.4122571429,18.5,12.93,5.57,0.386476590363
Blake Bortles,QB,5600,Jax@Bal 01:00PM ET,21.44,Jax,23.9,18.38,16.33,19.38,20.068,19.542,15.8908,19.0701142857,23.9,15.8908,8.0092,0.419986995358
