,Id,Name,Position,Salary,Game,FPPG,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fire,average,max,min,range,rel_range,upside,final
341,29994,Travis Coons,K,4600,CIN@CLE,6.9,CLE,,,,,,,,,,,,,
342,25694,Andre Williams,RB,4600,NYJ@NYG,2.5,NYG,,2.52,3.235,2.35,2.125,2.132,2.4724,3.235,2.125,1.11,0.44895648,0.7626,2.2
343,22228,Chase Ford,TE,4600,BAL@MIA,0.0,BAL,,,,,,,,,,,,,
344,23046,Jamize Olawale,RB,4600,KC@OAK,2.9,OAK,,,2.125,,2.59,,2.3575,2.59,2.125,0.465,0.197242842,0.2325,1.75
345,30807,Mychal Rivera,TE,4600,KC@OAK,2.7,OAK,2.6,8.52,2.73,2.95,3.225,3.1525,3.862916667,8.52,2.6,5.92,1.532520764,4.657083333,1.4
346,7831,Sebastian Janikowski,K,4600,KC@OAK,8.1,OAK,,,,,,,,,,,,,
347,6910,Robbie Gould,K,4600,SF@CHI,9.3,CHI,,,,,,,,,,,,,
348,26094,Brandon Coleman,WR,4600,CAR@NO,3.2,NO,2.6,9.255,3.735,3.15,6.55,2.945,4.705833333,9.255,2.6,6.655,1.414202231,4.549166667,13.5
349,12525,Atlanta Falcons,D,4600,ATL@TB,6.7,ATL,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,0.0,0.0,0.0,
350,12538,St Louis Rams,D,4600,ARI@STL,9.0,STL,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,0.0,0.0,0.0,
