,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fire,average,max,min,range,rel_range,upside,final
78,DeSean Jackson,WR,5100,Dal@Was 08:30PM ET,9.04,Was,17.0,19.2,11.92,10.0,10.18,13.846,13.691,19.2,10.0,9.2,0.67197429,5.509,19.0
79,Sam Bradford,QB,5100,Phi@NE 04:25PM ET,14.887,Phi,13.5,12.4,13.8,9.68,16.476,14.5286,13.39743333,16.476,9.68,6.796,0.507261341,3.078566667,12.7
80,LeGarrette Blount,RB,5100,Phi@NE 04:25PM ET,11.49,NE,14.5,11.6,11.24,6.9,14.26,13.057,11.92616667,14.5,6.9,7.6,0.637254217,2.573833333,5.4
81,Mike Vick,QB,5000,Ind@Pit 08:30PM ET,6.348,Pit,,,,,,,,,,,,,
82,Charlie Whitehurst,QB,5000,Ind@Pit 08:30PM ET,0.0,Ind,,,,,,,,,,,,,2.04
83,Tarvaris Jackson,QB,5000,Sea@Min 01:00PM ET,0.0,Sea,,,,,,,,,,,,,
84,Derek Anderson,QB,5000,Car@NO 04:25PM ET,0.2,Car,,,,,,,,,,,,,
85,Kellen Clemens,QB,5000,Den@SD 04:05PM ET,6.52,SD,,,,,,,,,,,,,
86,Shaun Hill,QB,5000,Sea@Min 01:00PM ET,0.25,Min,,,,,,,,,,,,,
87,Matt Moore,QB,5000,Bal@Mia 01:00PM ET,0.36,Mia,,,,,,,,,,,,,
88,Drew Stanton,QB,5000,Ari@StL 01:00PM ET,-0.067,Ari,,,,,,,,,,,,,
89,Matt Flynn,QB,5000,Car@NO 04:25PM ET,0.0,NO,,,,,,,,,,,,,
90,Matt Schaub,QB,5000,Bal@Mia 01:00PM ET,16.28,Bal,14.1,9.98,15.97,11.98,16.734,16.181,14.1575,16.734,9.98,6.754,0.477061628,2.5765,17.32
91,Brian Hoyer,QB,5000,Hou@Buf 01:00PM ET,17.045,Hou,18.1,9.98,12.91,17.74,15.582,15.409,14.9535,18.1,9.98,8.12,0.543016685,3.1465,24.22
92,Chad Henne,QB,5000,Jax@Ten 01:00PM ET,0.0,Jax,,,,,,,,,,,,,
93,Josh Johnson,QB,5000,Hou@Buf 01:00PM ET,0.0,Buf,,,,,,,,,,,,,
94,Joe Webb,QB,5000,Car@NO 04:25PM ET,-0.009,Car,,,,,,,,,,,,,
95,Chase Daniel,QB,5000,KC@Oak 04:05PM ET,0.16,KC,,,,,,,,,,,,,
96,Colt McCoy,QB,5000,Dal@Was 08:30PM ET,0.0,Was,,,,,,,,,,,,,
97,T.J. Yates,QB,5000,Hou@Buf 01:00PM ET,11.11,Hou,,,,,,,,,,,,,
98,Christian Ponder,QB,5000,Den@SD 04:05PM ET,0.0,Den,,,,,,,,,,,,,
99,Thaddeus Lewis,QB,5000,Phi@NE 04:25PM ET,0.0,Phi,,,,,,,,,,,,,
100,Case Keenum,QB,5000,Ari@StL 01:00PM ET,3.72,StL,,,,,,,,,,,,,
101,Jimmy Clausen,QB,5000,Bal@Mia 01:00PM ET,2.387,Bal,,,,,,,,,,,,,
102,Brandon Weeden,QB,5000,Hou@Buf 01:00PM ET,9.63,Hou,,,,,,,,,,,,,
103,Austin Davis,QB,5000,Cin@Cle 01:00PM ET,7.78,Cle,17.6,,11.29,,16.728,14.6162,15.05855,17.6,11.29,6.31,0.419031049,2.54145,7.6
104,Nick Foles,QB,5000,Ari@StL 01:00PM ET,10.344,StL,11.3,16.72,12.45,17.72,12.814,9.4914,13.4159,17.72,9.4914,8.2286,0.61334685,4.3041,4.64
105,Landry Jones,QB,5000,Ind@Pit 08:30PM ET,5.444,Pit,,,,,,,,,,,,,
106,Robert Griffin III,QB,5000,Dal@Was 08:30PM ET,0.0,Was,,,,,,,,,,,,,
107,EJ Manuel,QB,5000,Hou@Buf 01:00PM ET,10.56,Buf,,,,,,,,,,,,,
108,Blaine Gabbert,QB,5000,SF@Chi 01:00PM ET,17.727,SF,13.5,22.02,14.56,18.92,10.944,15.6336,15.9296,22.02,10.944,11.076,0.695309361,6.0904,25.34
109,Sean Renfree,QB,5000,Atl@TB 01:00PM ET,-0.4,Atl,,,,,,,,,,,,,
110,Mike Glennon,QB,5000,Atl@TB 01:00PM ET,0.0,TB,,,,,,,,,,,,,
111,Ryan Nassib,QB,5000,NYJ@NYG 01:00PM ET,0.0,NYG,,,,,,,,,,,,,
112,Ryan Griffin,QB,5000,Atl@TB 01:00PM ET,0.0,TB,6.0,3.4,4.47,4.1,6.64,3.172,4.630333333,6.64,3.172,3.468,0.748974156,2.009666667,11.9
113,Matt McGloin,QB,5000,KC@Oak 04:05PM ET,5.84,Oak,,,,,,,,,,,,,
114,Matt Barkley,QB,5000,Ari@StL 01:00PM ET,0.0,Ari,,,,,,,,,,,,,
115,Zach Mettenberger,QB,5000,Jax@Ten 01:00PM ET,4.185,Ten,,,,,,,,,,,,,
116,Aaron Murray,QB,5000,KC@Oak 04:05PM ET,0.0,KC,,,,,,,,,,,,,
117,Bryce Petty,QB,5000,NYJ@NYG 01:00PM ET,0.0,NYJ,,,,,,,,,,,,,
118,AJ McCarron,QB,5000,Cin@Cle 01:00PM ET,-0.04,Cin,,,,,,,,,,,,,
119,David Fales,QB,5000,SF@Chi 01:00PM ET,0.0,Chi,,,,,,,,,,,,,
120,Geno Smith,QB,5000,NYJ@NYG 01:00PM ET,21.0,NYJ,,,,,,,,,,,,,
121,Garrett Grayson,QB,5000,Car@NO 04:25PM ET,0.0,NO,,,,,,,,,,,,,
122,Trevor Siemian,QB,5000,Den@SD 04:05PM ET,0.0,Den,,,,,,,,,,,,,
123,Dylan Thompson,QB,5000,SF@Chi 01:00PM ET,0.0,SF,,,,,,,,,,,,,
124,Jimmy Garoppolo,QB,5000,Phi@NE 04:25PM ET,-0.125,NE,,,,,,,,,,,,,
125,Sean Mannion,QB,5000,Ari@StL 01:00PM ET,1.24,StL,,,,,,,,,,,,,
126,Teddy Bridgewater,QB,5000,Sea@Min 01:00PM ET,13.345,Min,13.6,14.7,12.41,13.4,12.586,13.9696,13.44426667,14.7,12.41,2.29,0.170332831,1.255733333,3.92
127,Johnny Manziel,QB,5000,Cin@Cle 01:00PM ET,9.189,Cle,,,1.394,,,,1.394,1.394,1.394,0.0,0.0,0.0,
128,Taylor Heinicke,QB,5000,Sea@Min 01:00PM ET,0.0,Min,,,,,,,,,,,,,
129,Antonio Gates,TE,4900,Den@SD 04:05PM ET,15.683,SD,16.5,13.2,11.17,13.2,12.14,11.953,13.02716667,16.5,11.17,5.33,0.409144992,3.472833333,11.0
130,Spencer Ware,RB,4900,KC@Oak 04:05PM ET,9.167,KC,11.5,,10.54,12.1,8.34,4.964,9.4888,12.1,4.964,7.136,0.752044516,2.6112,10.5
131,Brandon LaFell,WR,4800,Phi@NE 04:25PM ET,9.7,NE,18.0,17.8,14.58,16.7,16.38,13.791,16.2085,18.0,13.791,4.209,0.259678564,1.7915,6.7
132,Danny Woodhead,RB,4800,Den@SD 04:05PM ET,14.855,SD,18.0,17.8,11.93,10.4,13.1,8.504,13.289,18.0,8.504,9.496,0.714575965,4.711,6.4
133,Kamar Aiken,WR,4800,Bal@Mia 01:00PM ET,10.873,Bal,20.5,15.4,15.59,16.4,13.78,15.314,16.164,20.5,13.78,6.72,0.415738679,4.336,10.8
134,Latavius Murray,RB,4800,KC@Oak 04:05PM ET,13.464,Oak,11.5,7.9,13.24,5.7,12.95,13.445,10.78916667,13.445,5.7,7.745,0.717849695,2.655833333,19.7
135,John Brown,WR,4800,Ari@StL 01:00PM ET,14.36,Ari,17.5,14.4,15.15,7.0,12.16,10.615,12.80416667,17.5,7.0,10.5,0.820045558,4.695833333,20.3
136,Jeremy Hill,RB,4800,Cin@Cle 01:00PM ET,10.127,Cin,14.5,16.6,10.81,16.0,11.22,14.553,13.94716667,16.6,10.81,5.79,0.415138081,2.652833333,15.8
137,T.J. Yeldon,RB,4800,Jax@Ten 01:00PM ET,13.1,Jax,13.5,23.4,13.89,16.1,12.11,15.0674,15.6779,23.4,12.11,11.29,0.720121955,7.7221,23.6
138,Tevin Coleman,RB,4800,Atl@TB 01:00PM ET,4.678,Atl,3.0,8.5,6.07,2.8,2.39,4.244,4.500666667,8.5,2.39,6.11,1.357576655,3.999333333,2.7
139,Jason Witten,TE,4700,Dal@Was 08:30PM ET,10.618,Dal,8.5,17.6,9.81,16.6,8.88,10.617,12.00116667,17.6,8.5,9.1,0.758259614,5.598833333,9.5
140,Vincent Jackson,WR,4700,Atl@TB 01:00PM ET,12.138,TB,16.5,18.0,12.68,15.1,10.78,11.008,14.01133333,18.0,10.78,7.22,0.51529714,3.988666667,11.7
141,Danny Amendola,WR,4700,Phi@NE 04:25PM ET,12.01,NE,20.5,8.0,13.26,7.8,17.42,16.574,13.92566667,20.5,7.8,12.7,0.911985064,6.574333333,20.64
142,Stevie Johnson,WR,4700,Den@SD 04:05PM ET,12.522,SD,11.5,11.4,9.47,4.4,12.95,14.967,10.78116667,14.967,4.4,10.567,0.980135112,4.185833333,
143,Travis Kelce,TE,4700,KC@Oak 04:05PM ET,13.718,KC,18.5,16.2,13.9,17.1,13.9,12.259,15.30983333,18.5,12.259,6.241,0.407646502,3.190166667,7.2
144,Stefon Diggs,WR,4700,Sea@Min 01:00PM ET,15.038,Min,9.0,16.8,11.97,18.7,10.7,11.848,13.16966667,18.7,9.0,9.7,0.736541041,5.530333333,3.6
145,Chris Johnson,RB,4600,Ari@StL 01:00PM ET,11.018,Ari,,,,,,,,,,,,,
146,Alfred Blue,RB,4600,Hou@Buf 01:00PM ET,7.927,Hou,8.5,5.5,9.09,5.9,9.38,10.629,8.1665,10.629,5.5,5.129,0.628053634,2.4625,1.4
147,Donte Moncrief,WR,4600,Ind@Pit 08:30PM ET,13.309,Ind,19.0,15.7,13.65,15.5,13.69,11.825,14.89416667,19.0,11.825,7.175,0.481732222,4.105833333,4.3
148,Jimmy Graham,TE,4500,Sea@Min 01:00PM ET,11.227,Sea,,,,,,,,,,,,,
149,Ronnie Hillman,RB,4500,Den@SD 04:05PM ET,10.636,Den,8.5,15.9,10.05,16.2,8.73,10.407,11.63116667,16.2,8.5,7.7,0.662014415,4.568833333,5.6
150,Giovani Bernard,RB,4500,Cin@Cle 01:00PM ET,13.618,Cin,11.0,24.0,13.47,17.6,12.11,13.56,15.29,24.0,11.0,13.0,0.850228908,8.71,4.5
151,Willie Snead,WR,4500,Car@NO 04:25PM ET,12.055,NO,,17.2,,9.5,,,13.35,17.2,9.5,7.7,0.576779026,3.85,
152,Benjamin Watson,TE,4400,Car@NO 04:25PM ET,12.127,NO,,9.4,9.47,11.6,12.14,10.54,10.63,12.14,9.4,2.74,0.257761054,1.51,13.8
153,Frank Gore,RB,4300,Ind@Pit 08:30PM ET,12.1,Ind,9.5,14.2,14.01,8.8,12.45,11.039,11.6665,14.2,8.8,5.4,0.462863755,2.5335,18.4
154,Kendall Wright,WR,4300,Jax@Ten 01:00PM ET,11.113,Ten,18.5,15.6,10.07,16.4,11.82,11.108,13.91633333,18.5,10.07,8.43,0.605763012,4.583666667,5.8
155,Tavon Austin,WR,4300,Ari@StL 01:00PM ET,13.427,StL,16.0,8.3,7.31,7.7,10.9,10.144,10.059,16.0,7.31,8.69,0.863902972,5.941,4.8
156,Pierre Garcon,WR,4200,Dal@Was 08:30PM ET,10.709,Was,7.0,17.4,11.45,9.1,7.73,9.061,10.29016667,17.4,7.0,10.4,1.01067362,7.109833333,10.4
157,Shane Vereen,RB,4200,NYJ@NYG 01:00PM ET,10.227,NYG,8.0,19.2,9.71,7.4,9.28,5.714,9.884,19.2,5.714,13.486,1.364427357,9.316,4.0
158,Anquan Boldin,WR,4100,SF@Chi 01:00PM ET,13.089,SF,19.0,18.2,13.58,14.9,11.92,12.412,15.002,19.0,11.92,7.08,0.471937075,3.998,8.7
159,Terrance Williams,WR,4100,Dal@Was 08:30PM ET,9.1,Dal,7.0,13.4,9.04,11.6,7.39,7.802,9.372,13.4,7.0,6.4,0.68288519,4.028,8.3
160,Shaun Draughn,RB,4000,SF@Chi 01:00PM ET,5.75,SF,12.0,16.9,15.3,13.3,16.07,12.775,14.39083333,16.9,12.0,4.9,0.340494528,2.509166667,19.6
161,Julius Thomas,TE,4000,Jax@Ten 01:00PM ET,11.186,Jax,18.5,15.2,13.03,14.4,12.1,9.893,13.85383333,18.5,9.893,8.607,0.621272091,4.646166667,9.5
162,Rishard Matthews,WR,4000,Bal@Mia 01:00PM ET,12.691,Mia,,15.4,,,,,15.4,15.4,15.4,0.0,0.0,0.0,
163,Marquess Wilson,WR,4000,SF@Chi 01:00PM ET,7.582,Chi,,3.8,,,,,3.8,3.8,3.8,0.0,0.0,0.0,
164,Cardinals ,DST,3900,Ari@StL 01:00PM ET,9.273,Ari,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,
