player,opp,status,comp/att,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,targets,2-pt,fl,def_td,fan_pts,punt_td,kick_td

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Nick Williams, AtlWR",@Ten,W 10-7,0/0,0,0,0,0,0,0,3,43,0,5,0,0,0,4
"Zach Line, MinRB",@Det,W 28-19,0/0,0,0,0,2,2,0,1,49,0,1,0,0,0,4
"Carlos Hyde, SFRBP",Sea,L 3-20,0/0,0,0,0,11,40,0,0,0,0,0,0,0,0,4
"Jason Myers, JaxK",Buf,W 34-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Nick Boyle, BalTE",@Ari,L 18-26,0/0,0,0,0,0,0,0,2,20,0,2,1,0,0,4
"Ameer Abdullah, DetRB",Min,L 19-28,0/0,0,0,0,8,43,0,0,0,0,0,0,0,0,4
"Jamison Crowder, WshWR",TB,W 31-30,0/0,0,0,0,0,0,0,5,48,0,5,0,0,0,4
"Matt Jones, WshRB",TB,W 31-30,0/0,0,0,0,9,29,0,3,22,0,4,0,0,0,4
Browns D/STD/ST,@StL,L 6-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Cowboys D/STD/ST,@NYG,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Lions D/STD/ST,Min,L 19-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adam Vinatieri, IndK",NO,L 21-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Phil Dawson, SFK",Sea,L 3-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Matt Bryant, AtlK",@Ten,W 10-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Anquan Boldin, SFWR",Sea,L 3-20,0/0,0,0,0,0,0,0,3,39,0,7,0,0,0,3
"Larry Fitzgerald, AriWRP",Bal,W 26-18,0/0,0,0,0,0,0,0,3,39,0,5,0,0,0,3
"Darren Sproles, PhiRB",@Car,L 16-27,0/0,0,0,0,3,9,0,5,31,0,10,0,0,0,3
"Reggie Bush, SFRB",Sea,L 3-20,0/0,0,0,0,4,21,0,3,13,0,5,0,0,0,3
"Greg Jennings, MiaWR",Hou,W 44-26,0/0,0,0,0,0,0,0,2,37,0,2,0,0,0,3
"Fred Jackson, SeaRB",@SF,W 20-3,0/0,0,0,0,1,2,0,4,33,0,4,0,0,0,3
"Scott Chandler, NETE",NYJ,W 30-23,0/0,0,0,0,0,0,0,2,34,0,2,0,0,0,3
"Jacob Tamme, AtlTE",@Ten,W 10-7,0/0,0,0,0,0,0,0,3,36,0,6,0,0,0,3
"Mike Wallace, MinWR",@Det,W 28-19,0/0,0,0,0,0,0,0,4,36,0,5,0,0,0,3
"Jimmy Graham, SeaTE",@SF,W 20-3,0/0,0,0,0,0,0,0,2,31,0,5,0,0,0,3
"Joique Bell, DetRB",Min,L 19-28,0/0,0,0,0,3,21,0,2,14,0,2,0,0,0,3
"Kai Forbath, NOK",@Ind,W 27-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Robert Turbin, CleRB",@StL,L 6-24,0/0,0,0,0,5,30,0,2,8,0,2,0,0,0,3
"Jarius Wright, MinWRQ",@Det,W 28-19,0/0,0,0,0,0,0,0,3,31,0,6,0,0,0,3
"Chris Givens, BalWR",@Ari,L 18-26,0/0,0,0,0,1,-6,0,1,31,0,2,0,0,0,3
"Chris Gragg, BufTE",@Jax,L 31-34,0/0,0,0,0,0,0,0,2,35,0,7,0,0,0,3
"Tommy Bohanon, NYJRB",@NE,L 23-30,0/0,0,0,0,0,0,0,2,36,0,4,0,0,0,3

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Odell Beckham Jr., NYGWRP",Dal,W 27-20,0/0,0,0,0,0,0,0,4,35,0,6,0,0,0,3
"Charles Sims, TBRB",@Wsh,L 30-31,0/0,0,0,0,10,49,0,2,17,0,3,0,1,0,3
"Jerick McKinnon, MinRB",@Det,W 28-19,0/0,0,0,0,9,36,0,1,1,0,1,0,0,0,3
"Corey Brown, CarWR",Phi,W 27-16,0/0,0,0,0,0,0,0,3,38,0,5,0,0,0,3
"Adam Thielen, MinWR",@Det,W 28-19,0/0,0,0,0,0,0,0,1,30,0,2,0,0,0,3
"Javorius Allen, BalRB",@Ari,L 18-26,0/0,0,0,0,3,25,0,1,10,0,1,0,0,0,3
"Thomas Rawls, SeaRBQ",@SF,W 20-3,0/0,0,0,0,6,32,0,2,9,0,2,0,0,0,3
"Lucky Whitehead, DalWR",@NYG,L 20-27,0/0,0,0,0,4,35,0,0,0,0,0,0,0,0,3
Patriots D/STD/ST,NYJ,W 30-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Nick Novak, HouK",@Mia,L 26-44,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Anthony Fasano, TenTE",Atl,L 7-10,0/0,0,0,0,0,0,0,3,21,0,4,0,0,0,2
"Marques Colston, NOWR",@Ind,W 27-21,0/0,0,0,0,0,0,0,1,20,0,3,0,0,0,2
"Brian Hartline, CleWR",@StL,L 6-24,0/0,0,0,0,0,0,0,3,22,0,3,0,0,0,2
"Brandon LaFell, NEWR",NYJ,W 30-23,0/0,0,0,0,0,0,0,2,25,0,8,0,0,0,2
"Louis Murphy*, TBWRIR",@Wsh,L 30-31,0/0,0,0,0,0,0,0,1,29,0,1,0,0,0,2
"Andrew Hawkins, CleWRQ",@StL,L 6-24,0/0,0,0,0,0,0,0,2,21,0,3,0,0,0,2
"Luke Stocker, TBTE",@Wsh,L 30-31,0/0,0,0,0,0,0,0,3,22,0,4,0,0,0,2
"Charles Clay, BufTE",@Jax,L 31-34,0/0,0,0,0,0,0,0,3,26,0,5,0,0,0,2
"Jordan Cameron, MiaTE",Hou,W 44-26,0/0,0,0,0,0,0,0,2,23,0,2,0,0,0,2
"Travis Benjamin, CleWR",@StL,L 6-24,0/0,0,0,0,0,0,0,4,47,0,8,0,1,0,2
"Chris Owusu, NYJWR",@NE,L 23-30,0/0,0,0,0,0,0,0,2,25,0,4,0,0,0,2
"Charles Johnson, MinWR",@Det,W 28-19,0/0,0,0,0,0,0,0,1,21,0,2,0,0,0,2
"Zac Stacy, NYJRB",@NE,L 23-30,0/0,0,0,0,7,19,0,1,11,0,1,0,0,0,2
"Joseph Randle, DalRBQ",@NYG,L 20-27,0/0,0,0,0,2,24,0,0,0,0,0,0,0,0,2
"Benjamin Cunningham, StLRB",Cle,W 24-6,0/0,0,0,0,4,11,0,2,13,0,2,0,0,0,2
"Marlon Brown, BalWR",@Ari,L 18-26,0/0,0,0,0,0,0,0,3,22,0,5,0,0,0,2
