player,pos,team,bye,opp,rush_att,rush_yards,rush_tds,rec,tar,rec_yards,rec_tds,fl,misc_yard,misc_td,punt_td,kick_td,fan_pts,own,2-pt,pass_yards,pass_tds,int


Marcel Reece,RB,OAK,6,MINSun 4:05,1,4,0,1,1,6,0,0,10,0,0,0,1,14%
 Previous8910111213Next 


Darren Fells,TE,ARI,9,@SEASun 8:30,0,0,0,1,1,10,0,0,10,0,0,0,1,5%
Jeff Janis,WR,GB,7,DETSun 1:00,0,0,0,1,1,9,0,0,9,0,0,0,0.9,3%
Albert Wilson,WR,KC,9,@DENSun 4:25,0,0,0,1,1,9,0,0,9,0,0,0,0.9,3%
Dwayne Bowe,WR,CLE,11,@PITSun 1:00,0,0,0,1,1,8,0,0,8,0,0,0,0.8,9%
Cody Latimer,WR,DEN,7,KCSun 4:25,0,0,0,1,1,8,0,0,8,0,0,0,0.8,27%
Sammie Coates,WR,PIT,11,CLESun 1:00,0,0,0,1,1,8,0,0,8,0,0,0,0.8,4%
J.J. Nelson,WR,ARI,9,@SEASun 8:30,0,0,0,1,1,8,0,0,8,0,0,0,0.8,1%
Zach Miller,TE,CHI,7,@STLSun 1:00,0,0,0,1,1,8,0,0,8,0,0,0,0.8,0%
Dion Sims,TE,MIA,5,@PHISun 1:00,0,0,0,1,1,8,0,0,8,0,0,0,0.8,1%
Lance Moore,WR,DET,9,@GBSun 1:00,0,0,0,1,1,7,0,0,7,0,0,0,0.7,6%
Paul Richardson,WR,SEA,9,ARISun 8:30,0,0,0,1,1,7,0,0,7,0,0,0,0.7,2%
Ryan Grant,WR,WAS,8,NOSun 1:00,0,0,0,1,1,7,0,0,7,0,0,0,0.7,1%
Chris Conley,WR,KC,9,@DENSun 4:25,0,0,0,1,1,7,0,0,7,0,0,0,0.7,5%
