,QB,QB_sal,QB_score,RB1,RB2,RB_sal,RB_score,WR1,WR2,WR3,WR_sal,WR_score,TE,TE_sal,TE_score,DST,DST_sal,DST_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
84,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Stefon Diggs,Mike Wallace,18200,54.75457143,Austin Seferian-Jenkins,2800,13.375,Patriots ,3000,9.1,Ladarius Green,3000,12.57071429,49900,157.52788572,1
86,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Stefon Diggs,Mike Wallace,18200,54.75457143,Austin Seferian-Jenkins,2800,13.375,Broncos ,2900,8.3,Eric Ebron,3100,12.08342857,49900,156.2406,1
87,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Stefon Diggs,Mike Wallace,18200,54.75457143,Austin Seferian-Jenkins,2800,13.375,Broncos ,2900,8.3,Ladarius Green,3000,12.57071429,49800,156.72788572,1
89,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Stefon Diggs,Mike Wallace,18200,54.75457143,Austin Seferian-Jenkins,2800,13.375,Colts ,2100,5.8,Darren McFadden,3800,14.38614286,49800,156.04331429,1
90,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Stefon Diggs,Mike Wallace,18200,54.75457143,Heath Miller,2700,9.344428571,Rams ,3200,10.9,Austin Seferian-Jenkins,2800,13.375,49800,156.101600001,1
94,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Antonio Brown,Eric Decker,Vincent Jackson,18000,53.76114286,Austin Seferian-Jenkins,2800,13.375,Rams ,3200,10.9,Eric Ebron,3100,12.08342857,50000,157.84717143,1
95,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Antonio Brown,Eric Decker,Vincent Jackson,18000,53.76114286,Austin Seferian-Jenkins,2800,13.375,Rams ,3200,10.9,Ladarius Green,3000,12.57071429,49900,158.33445715,1
97,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Antonio Brown,Eric Decker,Vincent Jackson,18000,53.76114286,Austin Seferian-Jenkins,2800,13.375,Patriots ,3000,9.1,Eric Ebron,3100,12.08342857,49800,156.04717143,1
98,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Antonio Brown,Eric Decker,Vincent Jackson,18000,53.76114286,Austin Seferian-Jenkins,2800,13.375,Patriots ,3000,9.1,Ladarius Green,3000,12.57071429,49700,156.53445715,1
101,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Antonio Brown,Vincent Jackson,Stefon Diggs,17500,53.20385715,Austin Seferian-Jenkins,2800,13.375,Rams ,3200,10.9,Larry Donnell,3300,10.82331429,49700,156.02977144,1
102,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Antonio Brown,Vincent Jackson,Stefon Diggs,17500,53.20385715,Austin Seferian-Jenkins,2800,13.375,Rams ,3200,10.9,Eric Ebron,3100,12.08342857,49500,157.28988572,1
103,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Antonio Brown,Vincent Jackson,Stefon Diggs,17500,53.20385715,Austin Seferian-Jenkins,2800,13.375,Rams ,3200,10.9,Ladarius Green,3000,12.57071429,49400,157.77717144,1
105,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Antonio Brown,Vincent Jackson,Stefon Diggs,17500,53.20385715,Austin Seferian-Jenkins,2800,13.375,Patriots ,3000,9.1,Darren McFadden,3800,14.38614286,50000,157.79260001,1
107,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Antonio Brown,Vincent Jackson,Stefon Diggs,17500,53.20385715,Austin Seferian-Jenkins,2800,13.375,Broncos ,2900,8.3,Darren McFadden,3800,14.38614286,49900,156.99260001,1
