,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range,final
19,Adrian Peterson,RB,7400,Min@Chi 01:00PM ET,16.517,Min,24.0,22.4,16.44,24.6,16.48,19.08,18.359,20.19414286,,,,,15.9
20,Andrew Luck,QB,7400,Ind@Car 08:30PM ET,22.124,Ind,18.8,19.66,17.03,20.66,19.352,15.46,20.5076,18.78137143,,,,,17.74
21,Matt Forte,RB,7300,Min@Chi 01:00PM ET,18.8,Chi,21.5,23.9,19.15,24.4,20.01,18.26,15.7922,20.43031429,,,,,10.9
22,Matt Ryan,QB,7100,TB@Atl 01:00PM ET,16.854,Atl,19.7,23.22,22.88,24.22,20.344,25.148,23.6966,22.74408571,,,,,25.08
23,Marshawn Lynch,RB,7100,Sea@Dal 04:25PM ET,12.7,Sea,22.5,14.9,17.67,15.6,15.43,17.95,16.506,17.22228571,,,,,10.2
24,Carson Palmer,QB,7000,Ari@Cle 01:00PM ET,21.811,Ari,19.0,19.24,16.34,20.24,18.018,16.108,19.7686,18.3878,,,,,33.56
25,Randall Cobb,WR,7000,GB@Den 08:30PM ET,15.533,GB,17.5,24.7,14.06,22.7,16.92,14.82,16.296,18.14228571,,,,,9.7
26,T.Y. Hilton,WR,6900,Ind@Car 08:30PM ET,16.943,Ind,18.5,18.7,14.21,21.1,16.17,11.94,15.358,16.56828571,,,,,2.5
27,Cam Newton,QB,6800,Ind@Car 08:30PM ET,21.75,Car,22.0,24.78,21.58,25.78,21.044,20.53,21.4908,22.45782857,,,,,20.02
28,Mike Evans,WR,6800,TB@Atl 01:00PM ET,13.36,TB,22.5,25.2,16.73,22.6,16.53,17.05,18.01,19.80285714,,,,,7.8
29,Drew Brees,QB,6700,NYG@NO 01:00PM ET,18.79,NO,22.0,22.9,21.73,23.9,22.646,22.084,19.4152,22.09645714,,,,,49.3
30,Ben Roethlisberger,QB,6700,Cin@Pit 01:00PM ET,20.793,Pit,19.9,18.4,17.0,19.4,22.428,17.85,17.9296,18.9868,,,,,11.48
31,Amari Cooper,WR,6700,NYJ@Oak 04:05PM ET,18.517,Oak,17.0,29.0,16.92,27.0,13.94,12.29,15.176,18.76085714,,,,,9.8
32,Eli Manning,QB,6600,NYG@NO 01:00PM ET,16.834,NYG,22.4,17.48,18.04,18.48,18.58,17.41,18.738,18.73257143,,,,,41.0
33,Philip Rivers,QB,6600,SD@Bal 01:00PM ET,24.04,SD,28.2,18.8,20.65,19.8,23.974,24.388,24.1152,22.84674286,,,,,27.04
34,Greg Olsen,TE,6500,Ind@Car 08:30PM ET,15.817,Car,20.0,15.8,14.5,14.9,13.98,11.01,12.953,14.73471429,,,,,19.9
35,Peyton Manning,QB,6400,GB@Den 08:30PM ET,13.593,Den,17.2,16.78,16.12,17.78,17.476,13.548,13.8514,16.10791429,,,,,15.6
36,Mark Ingram,RB,6400,NYG@NO 01:00PM ET,18.5,NO,20.0,12.7,15.1,14.0,15.28,15.97,13.689,15.24842857,,,,,15.9
37,Dion Lewis,RB,6400,Mia@NE 08:25PM ET,17.74,NE,13.0,16.3,14.71,18.7,14.2,11.25,13.928,14.584,,,,,23.2
38,Alshon Jeffery,WR,6400,Min@Chi 01:00PM ET,22.25,Chi,22.0,22.8,15.52,20.5,16.49,15.53,14.928,18.25257143,,,,,30.6
39,Russell Wilson,QB,6300,Sea@Dal 04:25PM ET,16.974,Sea,20.6,25.2,20.74,26.2,17.602,20.658,19.709,21.52985714,,,,,14.6
