,,,,,comp,att,,pass yards,pass td,int,rating,rush,ru yards,ru TDS,REC,rec yards,REC tds, FL ,total yards,total tds,Punt TDS,returning TDs,FPTS,,FleaFlicker
,,,,,,,,,,,,,,,,,,,,,,,,,
Joique Bell,RB,DET,9,@SEAMon 8:30,,,,,,,,9,30,0,2,9,0,0,39,0,0,0,3.9,66%,
Jeremy Langford,RB,CHI,7,OAKSun 1:00,,,,,,,,6,25,0,2,14,0,0,39,0,0,0,3.9,9%,
Denard Robinson,RB,JAC,8,@INDSun 1:00,,,,,,,,10,47,0,2,12,0,1-Jan,59,0,0,0,3.9,34%,
Darrius Heyward-Bey,WR,PIT,11,BAL,,,,,,,,0,0,0,3,38,0,0,38,0,0,0,3.8,10%,
Mohamed Sanu,WR,CIN,7,KCSun 1:00,,,,,,,,1,2,0,3,36,0,0,38,0,0,0,3.8,18%,
Robert Woods,WR,BUF,8,NYGSun 1:00,,,,,,,,0,0,0,4,38,0,0,38,0,0,0,3.8,14%,
Ameer Abdullah,RB,DET,9,@SEAMon 8:30,,,,,,,,7,27,0,1,10,0,0,37,0,0,0,3.7,82%,
Jared Cook,TE,STL,6,@ARISun 4:25,,,,,,,,0,0,0,4,37,0,0,37,0,0,0,3.7,22%,
Chris Polk,RB,HOU,9,@ATLSun 1:00,,,,,,,,6,26,0,2,11,0,0,37,0,0,0,3.7,17%,
Kenny Britt,WR,STL,6,@ARISun 4:25,,,,,,,,0,1,0,2,36,0,0,37,0,0,0,3.7,18%,
Marlon Brown,WR,BAL,9,@PIT,,,,,,,,0,0,0,3,36,0,0,36,0,0,0,3.6,3%,
Theo Riddick,RB,DET,9,@SEAMon 8:30,,,,,,,,5,20,0,2,15,0,0,35,0,0,0,3.5,12%,
Bobby Rainey,RB,TB,6,CARSun 1:00,,,,,,,,4,18,0,2,16,0,0,34,0,0,0,3.4,7%,
Zac Stacy,RB,NYJ,5,@MIASun 9:30,,,,,,,,5,24,0,1,10,0,0,34,0,0,0,3.4,9%,
Greg Jennings,WR,MIA,5,NYJSun 9:30,,,,,,,,0,0,0,4,34,0,0,34,0,0,0,3.4,10%,
Jacoby Jones,WR,SD,10,CLESun 4:05,,,,,,,,0,2,0,3,32,0,0,34,0,0,0,3.4,2%,
Cordarrelle Patterson,WR,MIN,5,@DENSun 4:25,,,,,,,,2,10,0,2,24,0,0,34,0,0,0,3.4,33%,
Josh Huff,WR,PHI,8,@WASSun 1:00,,,,,,,,0,0,0,3,34,0,0,34,0,0,0,3.4,3%,
Corey Brown,WR,CAR,5,@TBSun 1:00,,,,,,,,1,4,0,3,30,0,0,34,0,0,0,3.4,5%,
Brandon Coleman,WR,NO,11,DALSun 8:30,,,,,,,,0,0,0,3,33,0,0,33,0,0,0,3.3,20%,
 Previous45678910Next ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip Dorsett,WR,IND,10,JACSun 1:00,,,,,,,,0,0,0,3,33,0,0,33,0,0,0,3.3,19%,
Lance Dunbar,RB,DAL,6,@NOSun 8:30,,,,,,,,6,29,0,1,3,0,0,32,0,0,0,3.2,49%,
Fozzy Whittaker,RB,CAR,5,@TBSun 1:00,,,,,,,,5,22,0,1,10,0,0,32,0,0,0,3.2,2%,
Brian Quick,WR,STL,6,@ARISun 4:25,,,,,,,,0,0,0,3,32,0,0,32,0,0,0,3.2,16%,
Vernon Davis,TE,SF,10,GBSun 4:25,,,,,,,,0,0,0,3,32,0,0,32,0,0,0,3.2,38%,
Darren McFadden,RB,DAL,6,@NOSun 8:30,,,,,,,,8,28,0,1,3,0,0,31,0,0,0,3.1,61%,
Rishard Matthews,WR,MIA,5,NYJSun 9:30,,,,,,,,0,0,0,3,31,0,0,31,0,0,0,3.1,54%,
Jordan Reed,TE,WAS,8,PHISun 1:00,,,,,,,,0,0,0,3,31,0,0,31,0,0,0,3.1,67%,
Mychal Rivera,TE,OAK,6,@CHISun 1:00,,,,,,,,0,0,0,3,31,0,0,31,0,0,0,3.1,9%,
Dri Archer,RB,PIT,11,BAL,,,,,,,,4,17,0,2,13,0,0,30,0,0,0,3,2%,
Andre Roberts,WR,WAS,8,PHISun 1:00,,,,,,,,0,1,0,2,29,0,0,30,0,0,0,3,2%,
Steve Johnson,WR,SD,10,CLESun 4:05,,,,,,,,0,0,0,3,29,0,0,29,0,0,0,2.9,60%,
Allen Hurns,WR,JAC,8,@INDSun 1:00,,,,,,,,0,0,0,2,29,0,0,29,0,0,0,2.9,20%,
Ty Montgomery,WR,GB,7,@SFSun 4:25,,,,,,,,0,0,0,3,29,0,0,29,0,0,0,2.9,13%,
Knile Davis,RB,KC,9,@CINSun 1:00,,,,,,,,6,21,0,1,8,0,0,29,0,0,0,2.9,47%,
Andre Williams,RB,NYG,11,@BUFSun 1:00,,,,,,,,5,24,0,1,4,0,0,28,0,0,0,2.8,50%,
Mike Tolbert,RB,CAR,5,@TBSun 1:00,,,,,,,,4,13,0,2,15,0,0,28,0,0,0,2.8,2%,
Toby Gerhart,RB,JAC,8,@INDSun 1:00,,,,,,,,5,20,0,1,8,0,0,28,0,0,0,2.8,5%,
Andre Caldwell,WR,DEN,7,MINSun 4:25,,,,,,,,0,0,0,3,28,0,0,28,0,0,0,2.8,1%,
Stedman Bailey,WR,STL,6,@ARISun 4:25,,,,,,,,1,2,0,3,26,0,0,28,0,0,0,2.8,5%,
 Previous567891011Next ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DeAngelo Williams,RB,PIT,11,BAL,,,,,,,,8,24,0,1,3,0,0,27,0,0,0,2.7,69%,
Brian Hartline,WR,CLE,11,@SDSun 4:05,,,,,,,,0,0,0,2,27,0,0,27,0,0,0,2.7,9%,
Ka'Deem Carey,RB,CHI,7,OAKSun 1:00,,,,,,,,4,18,0,1,7,0,0,25,0,0,0,2.5,4%,
Nate Washington,WR,HOU,9,@ATLSun 1:00,,,,,,,,0,0,0,2,25,0,0,25,0,0,0,2.5,15%,
Jason Avant,WR,KC,9,@CINSun 1:00,,,,,,,,0,0,0,3,25,0,0,25,0,0,0,2.5,1%,
Marvin Jones,WR,CIN,7,KCSun 1:00,,,,,,,,0,0,0,2,25,0,0,25,0,0,0,2.5,54%,
Gavin Escobar,TE,DAL,6,@NOSun 8:30,,,,,,,,0,0,0,2,25,0,0,25,0,0,0,2.5,4%,
Eric Ebron,TE,DET,9,@SEAMon 8:30,,,,,,,,0,0,0,3,25,0,0,25,0,0,0,2.5,52%,
Matt Asiata,RB,MIN,5,@DENSun 4:25,,,,,,,,5,17,0,1,7,0,0,24,0,0,0,2.4,12%,
Branden Oliver,RB,SD,10,CLESun 4:05,,,,,,,,3,13,0,1,10,0,0,23,0,0,0,2.3,10%,
Jerricho Cotchery,WR,CAR,5,@TBSun 1:00,,,,,,,,0,0,0,2,23,0,0,23,0,0,0,2.3,5%,
Chris Johnson,RB,ARI,9,STLSun 4:25,,,,,,,,4,17,0,1,5,0,0,22,0,0,0,2.2,72%,
Jerick McKinnon,RB,MIN,5,@DENSun 4:25,,,,,,,,3,14,0,1,8,0,0,22,0,0,0,2.2,34%,
Benny Cunningham,RB,STL,6,@ARISun 4:25,,,,,,,,3,13,0,3,19,0,1,32,0,0,0,2.2,16%,
Marquess Wilson,WR,CHI,7,OAKSun 1:00,,,,,,,,0,0,0,2,21,0,0,21,0,0,0,2.1,4%,
Lance Kendricks,TE,STL,6,@ARISun 4:25,,,,,,,,0,0,0,2,21,0,0,21,0,0,0,2.1,4%,
Duke Johnson,RB,CLE,11,@SDSun 4:05,,,,,,,,4,14,0,1,6,0,0,20,0,0,0,2,48%,
Brent Celek,TE,PHI,8,@WASSun 1:00,,,,,,,,0,0,0,2,20,0,0,20,0,0,0,2,5%,
Jermaine Gresham,TE,ARI,9,STLSun 4:25,,,,,,,,0,0,0,2,20,0,0,20,0,0,0,2,6%,
Ed Dickson,TE,CAR,5,@TBSun 1:00,,,,,,,,0,0,0,2,20,0,0,20,0,0,0,2,1%,
 Previous6789101112Next ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Housler,TE,CLE,11,@SDSun 4:05,,,,,,,,0,0,0,2,20,0,0,20,0,0,0,2,2%,
Josh Robinson,RB,IND,10,JACSun 1:00,,,,,,,,4,17,0,1,2,0,0,19,0,0,0,1.9,9%,
James Starks,RB,GB,7,@SFSun 4:25,,,,,,,,3,14,0,1,5,0,0,19,0,0,0,1.9,28%,
Jordan Norwood,WR,DEN,7,MINSun 4:25,,,,,,,,0,0,0,2,19,0,0,19,0,0,0,1.9,1%,
Rod Streater,WR,OAK,6,@CHISun 1:00,,,,,,,,0,0,0,2,19,0,0,19,0,0,0,1.9,2%,
Dwayne Allen,TE,IND,10,JACSun 1:00,,,,,,,,0,0,0,2,19,0,0,19,0,0,0,1.9,38%,
Reggie Bush,RB,SF,10,GBSun 4:25,,,,,,,,8,26,0,3,13,0,1-Jan,39,0,0,0,1.9,46%,
Tyler Lockett,WR,SEA,9,DETMon 8:30,,,,,,,,0,1,0,2,17,0,0,18,0,0,0,1.8,22%,
Ricardo Lockette,WR,SEA,9,DETMon 8:30,,,,,,,,0,1,0,1,16,0,0,17,0,0,0,1.7,1%,
Andre Holmes,WR,OAK,6,@CHISun 1:00,,,,,,,,0,0,0,1,17,0,0,17,0,0,0,1.7,3%,
Cameron Artis-Payne,RB,CAR,5,@TBSun 1:00,,,,,,,,3,12,0,1,4,0,0,16,0,0,0,1.6,11%,
Ted Ginn,WR,CAR,5,@TBSun 1:00,,,,,,,,0,0,0,1,16,0,0,16,0,0,0,1.6,15%,
Leonard Hankerson,WR,ATL,10,HOUSun 1:00,,,,,,,,0,0,0,1,16,0,0,16,0,0,0,1.6,13%,
Devin Smith,WR,NYJ,5,@MIASun 9:30,,,,,,,,0,0,0,1,16,0,0,16,0,0,0,1.6,7%,
Fred Jackson,RB,SEA,9,DETMon 8:30,,,,,,,,2,7,0,1,9,0,0,16,0,0,0,1.6,27%,
Stepfan Taylor,RB,ARI,9,STLSun 4:25,,,,,,,,2,9,0,1,6,0,0,15,0,0,0,1.5,2%,
