,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire
378,Khiry Robinson,RB,3000,NO@Ind 01:00PM ET,8.45,NO,1.5,1.3,6.37,1.1,6.23,3.97,2.19
379,Taylor Gabriel,WR,3000,Cle@StL 01:00PM ET,5.283,Cle,4.0,3.6,6.14,3.8,5.46,8.12,4.336
380,Donteea Dye,WR,3000,TB@Was 01:00PM ET,0.0,TB,,,,,,,
381,Texans ,DST,2900,Hou@Mia 01:00PM ET,4.667,Hou,,,,,,,
382,Jets ,DST,2900,NYJ@NE 01:00PM ET,9.6,NYJ,,,,,,,
383,Jacob Tamme,TE,2900,Atl@Ten 01:00PM ET,8.4,Atl,6.0,1.6,5.45,1.8,6.66,11.48,6.933
384,Ladarius Green,TE,2900,Oak@SD 04:05PM ET,13.18,SD,17.0,14.4,10.3,14.2,6.3,5.51,6.439
385,Giants ,DST,2800,Dal@NYG 04:25PM ET,7.667,NYG,,,,,,,
386,Jared Cook,TE,2800,Cle@StL 01:00PM ET,6.38,StL,7.5,7.2,7.83,7.6,8.1,10.26,8.333
387,Chiefs ,DST,2700,Pit@KC 01:00PM ET,5.333,KC,,,,,,,
388,Dolphins ,DST,2700,Hou@Mia 01:00PM ET,7.4,Mia,,,,,,,
389,Eagles ,DST,2700,Phi@Car 08:30PM ET,10.833,Phi,,,,,,,
390,Heath Miller,TE,2700,Pit@KC 01:00PM ET,6.967,Pit,8.0,10.6,7.29,11.3,5.82,11.2,8.763
391,Dwayne Allen,TE,2700,NO@Ind 01:00PM ET,4.775,Ind,6.5,5.2,7.33,4.6,4.82,7.5,6.106
392,Chris Gragg,TE,2700,Buf@Jax 09:30AM ET,4.3,Buf,,8.0,,8.0,1.11,0.19,3.309
393,Lions ,DST,2600,Min@Det 01:00PM ET,7.167,Det,,,,,,,
394,Titans ,DST,2600,Atl@Ten 01:00PM ET,6.8,Ten,,,,,,,
395,Steelers ,DST,2600,Pit@KC 01:00PM ET,8.833,Pit,,,,,,,
396,Chargers ,DST,2600,Oak@SD 04:05PM ET,4.333,SD,,,,,,,
397,Buccaneers ,DST,2600,TB@Was 01:00PM ET,7.0,TB,,,,,,,
398,Maxx Williams,TE,2600,Bal@Ari 08:30PM ET,3.8,Bal,,6.4,4.72,6.2,,1.4,3.329
399,Cowboys ,DST,2500,Dal@NYG 04:25PM ET,5.0,Dal,,,,,,,
400,Redskins ,DST,2500,TB@Was 01:00PM ET,8.167,Was,,,,,,,
401,Mike Leach,TE,2500,Bal@Ari 08:30PM ET,0.0,Ari,,,,,,,
402,Craig Stevens,TE,2500,Atl@Ten 01:00PM ET,1.66,Ten,,,,,,0.24,2.882
