,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fire,average,max,min,range,rel_range,final
27,Ben Roethlisberger,QB,6700,Pit@Sea 04:25PM ET,21.697,Pit,19.7,17.84,12.59,18.84,17.45,18.4092,17.8484571429,20.11,12.59,7.52,0.421324932447,27.04
28,Andrew Luck,QB,6700,TB@Ind 01:00PM ET,21.406,Ind,,,,,,,,,,,,
29,Alshon Jeffery,WR,6600,Chi@GB 08:30PM ET,21.7,Chi,19.5,22.6,13.22,20.4,19.1,14.445,17.5321428571,22.6,13.22,9.38,0.535017315135,16.0
30,Jarvis Landry,WR,6600,Mia@NYJ 01:00PM ET,17.376,Mia,19.5,17.2,13.63,16.7,16.62,15.568,16.0497142857,19.5,13.13,6.37,0.396891800477,38.9
31,Randall Cobb,WR,6500,Chi@GB 08:30PM ET,14.32,GB,17.5,25.7,15.82,23.2,14.28,15.888,18.3882857143,25.7,14.28,11.42,0.621047561336,13.4
32,Eli Manning,QB,6500,NYG@Was 01:00PM ET,19.87,NYG,18.6,17.54,19.27,18.54,17.772,18.5996,18.3862285714,19.27,17.54,1.73,0.0940921621462,20.84
33,Marshawn Lynch,RB,6500,Pit@Sea 04:25PM ET,12.243,Sea,,,,,,,,,,,,
34,Michael Crabtree,WR,6400,Oak@Ten 01:00PM ET,16.56,Oak,18.0,16.6,11.89,15.3,14.76,12.213,14.7818571429,18.0,11.89,6.11,0.413344543987,11.9
35,Mark Ingram,RB,6400,NO@Hou 01:00PM ET,17.18,NO,18.5,12.5,15.48,13.8,18.25,16.633,15.8732857143,18.5,12.5,6.0,0.377993574109,15.7
36,Brandin Cooks,WR,6400,NO@Hou 01:00PM ET,15.99,NO,20.0,18.7,14.48,18.7,14.89,14.969,16.2127142857,20.0,11.75,8.25,0.508859889505,8.5
37,Derek Carr,QB,6300,Oak@Ten 01:00PM ET,19.89,Oak,18.3,17.82,15.64,18.82,17.69,18.1014,17.7853428571,18.82,15.64,3.18,0.178798914676,27.7
38,Derek Carr,QB,6300,Oak@Ten 01:00PM ET,19.89,Oak,18.3,17.82,15.64,18.82,17.69,18.1014,15.6573428571,18.82,3.23,15.59,0.99569896005,27.7
39,Greg Olsen,TE,6200,Car@Dal 04:30PM ET,16.18,Car,18.5,18.8,14.18,17.4,15.13,14.877,15.6624285714,18.8,10.75,8.05,0.513968824393,12.0
40,DeMarco Murray,RB,6100,Phi@Det 12:30PM ET,16.889,Phi,21.0,14.6,17.18,15.2,19.36,16.796,17.918,21.29,14.6,6.69,0.373367563344,3.0
41,Andy Dalton,QB,6100,StL@Cin 01:00PM ET,21.922,Cin,20.7,17.6,18.49,18.6,18.688,18.9204,18.8332,20.7,17.6,3.1,0.164602935242,20.72
42,Lamar Miller,RB,6100,Mia@NYJ 01:00PM ET,17.25,Mia,14.0,13.2,13.82,14.1,14.51,13.41,13.9814285714,14.83,13.2,1.63,0.116583222642,4.3
43,Russell Wilson,QB,6000,Pit@Sea 04:25PM ET,17.662,Sea,20.7,19.5,19.21,20.5,18.918,17.2222,19.6048857143,21.184,17.2222,3.9618,0.202082279782,38.2
44,Peyton Manning,QB,5900,NE@Den 08:30PM ET,12.422,Den,,,,,,,,,,,,
45,Blake Bortles,QB,5900,SD@Jax 01:00PM ET,20.112,Jax,20.0,18.2,18.31,19.2,21.054,18.956,19.476,21.054,18.2,2.854,0.146539330458,26.46
46,Tony Romo,QB,5800,Car@Dal 04:30PM ET,16.807,Dal,17.9,,14.34,,20.068,18.9824,17.8226,20.068,14.34,5.728,0.321389696228,
47,Matthew Stafford,QB,5800,Phi@Det 12:30PM ET,17.058,Det,18.6,14.8,18.34,15.8,19.122,17.7778,17.5322571429,19.122,14.8,4.322,0.246517032278,37.78
48,Jordan Matthews,WR,5800,Phi@Det 12:30PM ET,12.85,Phi,17.5,12.2,11.81,11.1,13.49,13.399,13.477,17.5,11.1,6.4,0.474883134229,15.0
49,Eric Decker,WR,5800,Mia@NYJ 01:00PM ET,16.756,NYJ,19.5,10.0,14.46,9.0,14.91,15.241,13.7487142857,19.5,9.0,10.5,0.763707775272,17.2
50,Chris Ivory,RB,5800,Mia@NYJ 01:00PM ET,16.489,NYJ,15.5,16.2,13.66,16.0,12.28,13.7642,14.9448857143,17.21,12.28,4.93,0.329878735392,18.2
51,Doug Martin,RB,5800,TB@Ind 01:00PM ET,16.79,TB,19.5,13.6,12.84,13.7,14.53,18.679,15.2941428571,19.5,12.84,6.66,0.435460820669,10.8
52,Tyler Eifert,TE,5800,StL@Cin 01:00PM ET,16.02,Cin,16.0,21.2,14.54,19.6,12.78,13.496,15.5794285714,21.2,11.44,9.76,0.62646713615,13.0
53,Allen Hurns,WR,5800,SD@Jax 01:00PM ET,16.56,Jax,17.5,18.4,12.64,17.2,12.0,12.205,14.9192857143,18.4,12.0,6.4,0.428974960502,8.2
54,DeAngelo Williams,RB,5700,Pit@Sea 04:25PM ET,11.81,Pit,13.0,9.0,14.27,10.3,15.5,15.902,13.7488571429,18.27,9.0,9.27,0.674237858731,24.7
55,T.Y. Hilton,WR,5700,TB@Ind 01:00PM ET,13.84,Ind,18.0,19.3,14.8,26.3,12.92,14.449,17.1255714286,26.3,12.92,13.38,0.78128779853,27.5
56,Joe Flacco,QB,5600,Bal@Cle 08:30PM ET,19.094,Bal,,,,,,,,,,,,
57,Martavis Bryant,WR,5600,Pit@Sea 04:25PM ET,20.62,Pit,12.5,18.1,10.32,17.2,13.16,11.665,13.775,18.1,10.32,7.78,0.564791288566,19.0
58,Darren McFadden,RB,5500,Car@Dal 04:30PM ET,13.15,Dal,16.5,14.0,14.31,13.4,17.59,13.338,15.0354285714,17.59,13.338,4.252,0.282798723016,11.6
59,Justin Forsett,RB,5500,Bal@Cle 08:30PM ET,12.84,Bal,,,,,,,,,,,,
60,Marcus Mariota,QB,5500,Oak@Ten 01:00PM ET,18.755,Ten,18.5,19.08,16.09,20.08,16.064,17.8154,17.7947714286,20.08,16.064,4.016,0.225684270018,21.42
61,Jameis Winston,QB,5500,TB@Ind 01:00PM ET,18.4,TB,13.5,14.48,16.11,16.48,16.65,16.3424,15.9520571429,18.102,13.5,4.602,0.288489437995,15.5
62,Matt Hasselbeck,QB,5400,TB@Ind 01:00PM ET,15.64,Ind,17.4,7.84,17.44,8.84,18.366,16.2512,14.9616,18.594,7.84,10.754,0.71877339322,23.3
63,Delanie Walker,TE,5400,Oak@Ten 01:00PM ET,15.3,Ten,18.5,19.0,9.49,17.5,11.48,11.56,14.1571428571,19.0,9.49,9.51,0.671745711403,15.1
64,Kirk Cousins,QB,5400,NYG@Was 01:00PM ET,17.15,Was,17.2,17.4,14.32,18.4,16.952,17.7864,17.7154857143,21.95,14.32,7.63,0.430696630228,25.18
65,Latavius Murray,RB,5400,Oak@Ten 01:00PM ET,13.89,Oak,17.5,13.5,11.77,13.7,12.41,14.435,14.2278571429,17.5,11.77,5.73,0.402731060796,9.2
66,Sam Bradford,QB,5300,Phi@Det 12:30PM ET,14.887,Phi,,,,,,,,,,,,
67,Jeremy Langford,RB,5300,Chi@GB 08:30PM ET,10.37,Chi,10.0,16.6,12.65,16.8,8.97,9.751,11.9144285714,16.8,8.63,8.17,0.685723192767,12.3
68,Matt Schaub,QB,5300,Bal@Cle 08:30PM ET,0.0,Bal,12.9,10.62,13.42,11.62,15.346,18.0106,13.9049428571,18.0106,10.62,7.3906,0.531508836529,16.28
69,T.J. Yates,QB,5300,NO@Hou 01:00PM ET,11.11,Hou,,12.24,,13.24,,,12.74,13.24,12.24,1.0,0.0784929356358,
70,LeSean McCoy,RB,5300,Buf@KC 01:00PM ET,17.225,Buf,19.5,14.9,14.12,14.7,17.45,13.234,16.0162857143,19.5,13.234,6.266,0.39122678702,18.1
