Name,Id,Position,Salary,Game,FPPG,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
Lance Kendricks,14240,TE,4800,STL@CIN,3.9,STL,,4.0,4.73,4.0,4.53,3.02,1.5145,3.63241666667,4.73,1.5145,3.2155,0.885223336163
Connor Barth,6427,K,4800,TB@IND,11.2,TB,,,,,,,,,,,,
Quincy Enunwa,27266,WR,4800,MIA@NYJ,2.8,NYJ,,,,,4.88,3.12,,4.0,4.88,3.12,1.76,0.44
Taylor Gabriel,54753,WR,4800,BAL@CLE,3.5,CLE,,,,,,,2.056,2.056,2.056,2.056,0.0,0.0
Kenny Stills,27457,WR,4800,MIA@NYJ,5.4,MIA,4.0,7.6,6.22,6.8,8.77,8.42,3.3475,6.45107142857,8.77,3.3475,5.4225,0.840558046836
Terrance West,54607,RB,4800,BAL@CLE,0.6,BAL,3.0,,3.82,,4.97,1.01,,3.2,4.97,1.01,3.96,1.2375
Garrett Celek,22754,TE,4800,ARI@SF,4.6,SF,6.0,2.6,5.73,3.3,5.58,5.35,3.9795,4.6485,6.0,2.6,3.4,0.731418737227
Darren Fells,38301,TE,4800,ARI@SF,5.4,ARI,2.0,2.0,5.32,2.0,4.54,8.2,5.8665,4.27521428571,8.2,2.0,6.2,1.45021970494
Dexter McCluster,11454,RB,4800,OAK@TEN,6.7,TEN,,,,,,,4.0941,4.0941,4.0941,4.0941,0.0,0.0
Rashad Ross,29084,WR,4800,NYG@WAS,2.4,WAS,,,,,,,,,,,,
Cody Latimer,27771,WR,4800,NE@DEN,1.6,DEN,,1.6,4.86,1.8,3.11,4.34,,3.142,4.86,1.6,3.26,1.03755569701
Albert Wilson,48344,WR,4800,BUF@KC,4.8,KC,5.0,1.8,5.92,1.9,7.72,5.99,3.2195,4.50707142857,7.72,1.8,5.92,1.31349149749
David Johnson,62497,RB,4800,ARI@SF,8.4,ARI,2.5,7.2,6.35,7.4,5.39,3.08,2.2795,4.88564285714,7.4,2.2795,5.1205,1.04807087823
Charles Johnson,39449,WR,4800,MIN@ATL,2.2,MIN,5.0,7.3,4.93,6.7,1.17,2.94,2.2115,4.32164285714,7.3,1.17,6.13,1.41844206072
Josh Johnson,8023,QB,4800,BUF@KC,0.0,BUF,,,,,,,,,,,,
Andre Williams,25694,RB,4800,NYG@WAS,2.7,NYG,,3.2,5.42,3.8,2.78,4.32,1.913,3.57216666667,5.42,1.913,3.507,0.981757103532
Josh Hill,39492,TE,4800,NO@HOU,2.6,NO,,1.4,6.12,1.7,3.86,2.79,1.438,2.88466666667,6.12,1.4,4.72,1.636237578
