"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"25410","QB","Mike","Glennon","15.9","6","5100","TB@PHI","TB","PHI","","","",""
"31047","QB","AJ","McCarron","-0.2","1","5100","CIN@ARI","CIN","ARI","","","",""
"30108","WR","Marquess","Wilson","5.3","9","5100","DEN@CHI","CHI","DEN","","","",""
"14761","WR","Andre","Holmes","4.6","9","5100","OAK@DET","OAK","DET","","","",""
"16923","TE","Austin","Seferian-Jenkins","14.7","2","5100","TB@PHI","TB","PHI","Q","Shoulder","",""
"28930","RB","James","White","1.7","7","5100","BUF@NE","NE","BUF","","","",""
"7900","K","Stephen","Gostkowski","12.3","9","5100","BUF@NE","NE","BUF","","","",""
"33465","RB","Theo","Riddick","8.5","9","5100","OAK@DET","DET","OAK","","","",""
"11577","WR","Riley","Cooper","4.2","9","5100","TB@PHI","PHI","TB","","","",""
"28080","WR","Devin","Funchess","3.6","9","5100","WAS@CAR","CAR","WAS","","","",""
"22018","WR","Mohamed","Sanu","5.7","9","5100","CIN@ARI","CIN","ARI","","","",""
"24891","RB","Chris","Thompson","7","8","5100","WAS@CAR","WAS","CAR","","","",""
"6783","WR","Lance","Moore","7","9","5100","OAK@DET","DET","OAK","","","",""
"14344","QB","T.J.","Yates","6.6","1","5100","NYJ@HOU","HOU","NYJ","","","",""
"8803","QB","Chase","Daniel","0.2","1","5000","KC@SD","KC","SD","","","",""
"21971","TE","Coby","Fleener","6.5","9","5000","IND@ATL","IND","ATL","","","",""
"43956","QB","David","Fales","0","0","5000","DEN@CHI","CHI","DEN","","","",""
"14268","RB","Stevan","Ridley","-0.1","1","5000","NYJ@HOU","NYJ","HOU","","","",""
"6497","RB","Ahmad","Bradshaw","3.7","4","5000","IND@ATL","IND","ATL","","","",""
"14283","WR","Leonard","Hankerson","7.4","7","5000","IND@ATL","ATL","IND","P","Hamstring","",""
"14319","RB","Taiwan","Jones","3.4","7","5000","OAK@DET","OAK","DET","","","",""
"6387","WR","Miles","Austin","3.7","9","5000","TB@PHI","PHI","TB","","","",""
"31261","RB","Tre","Mason","2.5","7","5000","STL@BAL","STL","BAL","","","",""
"6373","QB","Derek","Anderson","8.4","6","5000","WAS@CAR","CAR","WAS","","","",""
"39373","WR","Jaelen","Strong","4.8","4","5000","NYJ@HOU","HOU","NYJ","","","",""
"54604","QB","Jimmy","Garoppolo","-0.1","4","5000","BUF@NE","NE","BUF","","","",""
"22774","RB","Jonas","Gray","3.7","6","5000","DAL@MIA","MIA","DAL","","","",""
"8071","QB","Dan","Orlovsky","5.5","2","5000","OAK@DET","DET","OAK","","","",""
"25813","WR","Phillip","Dorsett","3.8","7","5000","IND@ATL","IND","ATL","O","Ankle","",""
"24760","QB","Sean","Renfree","-0.4","1","5000","IND@ATL","ATL","IND","","","",""
"11500","QB","Colt","McCoy","0","1","5000","WAS@CAR","WAS","CAR","","","",""
"33714","K","Cairo","Santos","10.7","9","5000","KC@SD","KC","SD","","","",""
"14696","QB","Scott","Tolzien","0","1","5000","GB@MIN","GB","MIN","","","",""
"27776","RB","Tevin","Coleman","3.4","7","5000","IND@ATL","ATL","IND","","","",""
"24671","WR","Adam","Humphries","2.8","6","5000","TB@PHI","TB","PHI","","","",""
"10354","RB","Marcel","Reece","5.7","9","5000","OAK@DET","OAK","DET","","","",""
"8050","TE","Zach","Miller","4.4","9","5000","DEN@CHI","CHI","DEN","","","",""
"39512","RB","Kendall","Gaskins","2.7","2","5000","SF@SEA","SF","SEA","","","",""
"14645","WR","Dontrelle","Inman","3.4","8","5000","KC@SD","SD","KC","","","",""
"7970","QB","Charlie","Whitehurst","0","1","5000","IND@ATL","IND","ATL","","","",""
"31798","QB","Bryce","Petty","0","0","5000","NYJ@HOU","NYJ","HOU","","","",""
"6870","TE","Vernon","Davis","3.9","8","5000","DEN@CHI","DEN","CHI","","","",""
"22165","RB","Bryce","Brown","5.2","7","5000","SF@SEA","SEA","SF","","","",""
"10647","K","Matt","Bryant","7.9","9","5000","IND@ATL","ATL","IND","","","",""
"11761","QB","Thaddeus","Lewis","0","0","5000","TB@PHI","PHI","TB","","","",""
"6679","QB","Matt","Schaub","0.1","11","5000","STL@BAL","BAL","STL","","","",""
"29734","WR","Ty","Montgomery","5.8","6","5000","GB@MIN","GB","MIN","Q","Ankle","",""
"6682","TE","Owen","Daniels","6.1","9","5000","DEN@CHI","DEN","CHI","P","Knee","",""
"12538","D","St Louis","Rams","10.1","9","5000","STL@BAL","STL","BAL","","","",""
"22128","QB","Ryan","Lindley","9.1","3","5000","BUF@NE","NE","BUF","","","",""
"11615","QB","Joe","Webb","0","9","5000","WAS@CAR","CAR","WAS","","","",""
"6724","K","Steven","Hauschka","10.1","9","5000","SF@SEA","SEA","SF","","","",""
"29645","RB","Javorius","Allen","3.1","9","4900","STL@BAL","BAL","STL","","","",""
"33037","WR","Kenbrell","Thompkins","4.8","3","4900","NYJ@HOU","NYJ","HOU","","","",""
"22920","TE","Derek","Carrier","2.7","9","4900","WAS@CAR","WAS","CAR","","","",""
"47720","WR","Chandler","Worthy","1","3","4900","NYJ@HOU","HOU","NYJ","","","",""
"14292","TE","Jordan","Cameron","4.8","9","4900","DAL@MIA","MIA","DAL","","","",""
"14320","RB","Bilal","Powell","5.9","5","4900","NYJ@HOU","NYJ","HOU","P","Ankle","",""
"14305","RB","Roy","Helu","2.6","6","4900","OAK@DET","OAK","DET","","","",""
"54741","WR","Seth","Roberts","4.1","9","4900","OAK@DET","OAK","DET","","","",""
"27441","RB","Damien","Williams","1.8","9","4900","DAL@MIA","MIA","DAL","P","Ankle","",""
"29340","WR","Josh","Huff","4.8","8","4900","TB@PHI","PHI","TB","P","Back","",""
"24797","RB","Juwan","Thompson","0.4","8","4900","DEN@CHI","DEN","CHI","","","",""
"11504","WR","Andre","Roberts","2.7","7","4900","WAS@CAR","WAS","CAR","P","Ankle","",""
"12545","D","Philadelphia","Eagles","10.1","9","4900","TB@PHI","PHI","TB","","","",""
"12553","D","Carolina","Panthers","9.8","9","4900","WAS@CAR","CAR","WAS","","","",""
"39449","WR","Charles","Johnson","2.5","7","4900","GB@MIN","MIN","GB","","","",""
"39445","WR","Brice","Butler","3.1","4","4900","DAL@MIA","DAL","MIA","O","Hamstring","",""
"14704","WR","Chris","Hogan","5.1","9","4900","BUF@NE","BUF","NE","","","",""
"7975","RB","Mike","Tolbert","4.1","9","4900","WAS@CAR","CAR","WAS","","","",""
"28933","WR","Jared","Abbrederis","1.5","5","4900","GB@MIN","GB","MIN","O","Ribs","",""
"23045","K","Justin","Tucker","9.7","9","4900","STL@BAL","BAL","STL","","","",""
"6897","K","Mason","Crosby","7.3","9","4900","GB@MIN","GB","MIN","","","",""
"25886","WR","Devin","Street","1.6","9","4900","DAL@MIA","DAL","MIA","","","",""
"22110","K","Blair","Walsh","10.1","9","4900","GB@MIN","MIN","GB","","","",""
"6768","WR","Eddie","Royal","6","6","4900","DEN@CHI","CHI","DEN","O","Knee","",""
"22063","WR","Keshawn","Martin","6.2","3","4900","BUF@NE","NE","BUF","Q","Hamstring","",""
"22054","WR","Jarius","Wright","3.2","9","4900","GB@MIN","MIN","GB","","","",""
"22004","TE","Dwayne","Allen","2.6","7","4800","IND@ATL","IND","ATL","","","",""
"26247","K","Brandon","McManus","10","9","4800","DEN@CHI","DEN","CHI","","","",""
"34073","QB","Ryan","Griffin","3.7","2","4800","NYJ@HOU","HOU","NYJ","","","",""
"26355","QB","Logan","Thomas","3.6","2","4800","DAL@MIA","MIA","DAL","","","",""
"29605","QB","Matt","Barkley","0","1","4800","CIN@ARI","ARI","CIN","","","",""
"6427","K","Connor","Barth","11.6","5","4800","TB@PHI","TB","PHI","","","",""
"22994","QB","Case","Keenum","0","1","4800","STL@BAL","STL","BAL","","","",""
"27457","WR","Kenny","Stills","4.7","9","4800","DAL@MIA","MIA","DAL","","","",""
"54694","TE","Justin","Perillo","4.5","4","4800","GB@MIN","GB","MIN","","","",""
"28486","WR","Corey (Philly)","Brown","5.9","9","4800","WAS@CAR","CAR","WAS","D","Shoulder","",""
"28502","WR","Devin","Smith","1.6","6","4800","NYJ@HOU","NYJ","HOU","","","",""
"30261","K","Caleb","Sturgis","9.2","6","4800","TB@PHI","PHI","TB","","","",""
"22754","TE","Garrett","Celek","4.6","9","4800","SF@SEA","SF","SEA","","","",""
"38301","TE","Darren","Fells","5","7","4800","CIN@ARI","ARI","CIN","","","",""
"25775","TE","Clive","Walford","3.8","9","4800","OAK@DET","OAK","DET","","","",""
"29084","WR","Rashad","Ross","2.4","7","4800","WAS@CAR","WAS","CAR","","","",""
"12546","D","Arizona","Cardinals","9.7","9","4800","CIN@ARI","ARI","CIN","","","",""
"11488","TE","Ed","Dickson","2.9","9","4800","WAS@CAR","CAR","WAS","","","",""
"62497","RB","David","Johnson","8.2","9","4800","CIN@ARI","ARI","CIN","","","",""
"8023","QB","Josh","Johnson","0","0","4800","BUF@NE","BUF","NE","","","",""
"29003","RB","Ka'Deem","Carey","1.3","5","4800","DEN@CHI","CHI","DEN","","","",""
"23046","RB","Jamize","Olawale","3","7","4800","OAK@DET","OAK","DET","","","",""
"10744","K","Graham","Gano","9.9","9","4800","WAS@CAR","CAR","WAS","","","",""
"22187","QB","Chandler","Harnish","0","0","4800","CIN@ARI","ARI","CIN","","","",""
"7761","TE","Jared","Cook","4.4","9","4800","STL@BAL","STL","BAL","","","",""
"12541","D","New England","Patriots","8.3","9","4800","BUF@NE","NE","BUF","","","",""
"6702","K","Phil","Dawson","6.7","9","4800","SF@SEA","SF","SEA","","","",""
"28131","WR","Keith","Mumphery","2.2","9","4800","NYJ@HOU","HOU","NYJ","","","",""
"14349","WR","Jeremy","Kerley","3.9","9","4800","NYJ@HOU","NYJ","HOU","","","",""
"28157","WR","Bennie","Fowler","2.5","9","4800","DEN@CHI","DEN","CHI","","","",""
"21972","WR","Brian","Quick","1.2","6","4700","STL@BAL","STL","BAL","","","",""
"14237","TE","Kyle","Rudolph","5.3","9","4700","GB@MIN","MIN","GB","","","",""
"28346","TE","Maxx","Williams","3.6","8","4700","STL@BAL","BAL","STL","","","",""
"54608","RB","Jerick","McKinnon","1.8","9","4700","GB@MIN","MIN","GB","","","",""
"32429","K","Josh","Lambo","8.7","9","4700","KC@SD","SD","KC","","","",""
"31459","RB","Spencer","Ware","2.1","4","4700","KC@SD","KC","SD","","","",""
"31073","RB","Knile","Davis","1.8","8","4700","KC@SD","KC","SD","","","",""
"62619","K","Andrew","Franks","5.7","9","4700","DAL@MIA","MIA","DAL","","","",""
"12544","D","New York","Jets","7.7","9","4700","NYJ@HOU","NYJ","HOU","","","",""
"39649","RB","Benny","Cunningham","3.6","9","4700","STL@BAL","STL","BAL","","","",""
"24569","K","Chandler","Catanzaro","9.6","9","4700","CIN@ARI","ARI","CIN","","","",""
"9442","WR","Brandon","Tate","1.4","9","4700","CIN@ARI","CIN","ARI","","","",""
"6810","K","Dan","Carpenter","7.6","9","4700","BUF@NE","BUF","NE","","","",""
"30807","TE","Mychal","Rivera","2.6","9","4700","OAK@DET","OAK","DET","","","",""
"12539","D","Miami","Dolphins","6.8","9","4700","DAL@MIA","MIA","DAL","","","",""
"6668","K","Adam","Vinatieri","7.1","9","4700","IND@ATL","IND","ATL","","","",""
"12528","D","Cincinnati","Bengals","7.9","9","4700","CIN@ARI","CIN","ARI","","","",""
"6688","WR","Jerricho","Cotchery","4.7","7","4700","WAS@CAR","CAR","WAS","","","",""
"7703","WR","Jerome","Simpson","2.5","2","4700","SF@SEA","SF","SEA","","","",""
"6636","K","Mike","Nugent","7.9","9","4600","CIN@ARI","CIN","ARI","","","",""
"22958","RB","Bobby","Rainey","0.5","9","4600","TB@PHI","TB","PHI","","","",""
"14240","TE","Lance","Kendricks","3","8","4600","STL@BAL","STL","BAL","","","",""
"10046","RB","Antone","Smith","0.4","3","4600","DEN@CHI","CHI","DEN","","","",""
"10158","TE","Scott","Chandler","3.6","9","4600","BUF@NE","NE","BUF","","","",""
"14952","K","Dan","Bailey","8.9","9","4600","DAL@MIA","DAL","MIA","","","",""
"22762","WR","Chris","Owusu","3.7","3","4600","NYJ@HOU","NYJ","HOU","IR","Concussion","",""
"32045","TE","Vance","McDonald","1.4","8","4600","SF@SEA","SF","SEA","","","",""
"33703","WR","Ryan","Grant","3.8","9","4600","WAS@CAR","WAS","CAR","","","",""
