,2-pt,avg_yards/rec,comp,comp-%,fan_pts,fl,int,kick_td,pass_att,pass_tds,pass_yards,pass_yards/att,player,punt_td,rec,rec_tds,rec_yards,rush_att,rush_avg,rush_tds,rush_yards
123,0.0,7.7,,,0.0,0.4,0.0,0.0,,0.0,0.0,,"Matt Jones,WAS",0.0,1.2,0.0,9.4,9.7,4.9,0.4,47.2
124,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Roy Helu,OAK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,0.0,8.8,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Fred Jackson,SEA",0.0,1.3,0.1,11.4,3.4,5.4,0.1,18.4
126,0.0,9.7,,,0.0,0.2,0.0,0.0,,0.0,0.0,,"Tre Mason,STL",0.0,0.9,0.0,8.6,5.5,4.9,0.2,26.7
127,0.0,6.3,,,0.0,0.2,0.0,0.0,,0.0,0.0,,"Frank Gore,IND",0.0,1.6,0.0,10.3,13.9,4.0,0.3,56.0
128,0.0,7.8,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Jonathan Grimes,HOU",0.0,0.1,0.0,0.7,0.2,4.1,0.0,0.8
129,0.0,7.6,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Roosevelt Nix,PIT",0.0,0.0,0.0,0.1,0.0,4.9,0.0,0.1
130,0.0,8.8,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Joseph Randle,DAL",0.0,1.3,0.1,11.3,14.1,4.6,0.4,65.4
131,0.0,9.5,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Derrick Coleman,SEA",0.0,0.3,0.1,2.5,0.3,2.5,0.0,0.7
132,0.0,8.7,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Darrel Young,WAS",0.0,0.5,0.1,4.2,0.6,3.7,0.2,2.2
133,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Fitzgerald Toussaint,PIT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,0.0,9.6,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Charles Sims,TB",0.0,2.5,0.3,24.0,6.6,3.5,0.2,23.3
135,0.0,7.1,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Anthony Dixon,BUF",0.0,2.8,0.1,19.9,10.1,3.9,0.5,39.0
136,0.0,10.7,,,0.0,0.2,0.0,0.0,,0.0,0.0,,"David Johnson,ARI",0.0,1.9,0.2,20.3,3.6,3.4,0.2,12.3
137,0.0,8.6,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Chris Thompson,WAS",0.0,2.1,0.3,18.4,3.9,4.5,0.2,17.8
138,0.0,11.4,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Jay Prosch,HOU",0.0,0.2,0.0,2.1,1.1,6.3,0.0,6.9
139,0.0,7.2,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Reggie Bush,SF",0.0,1.9,0.0,13.4,5.5,4.5,0.1,24.8
140,0.0,8.7,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Donald Brown,SD",0.0,0.1,0.0,0.7,0.3,4.3,0.0,1.1
141,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Terrence Magee,BAL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,0.0,10.3,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Robert Turbin,CLE",0.0,0.0,0.0,0.4,0.2,3.1,0.0,0.5
143,0.0,7.8,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Stepfan Taylor,ARI",0.0,0.0,0.0,0.3,0.2,3.0,0.0,0.5
144,0.0,9.4,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Theo Riddick,DET",0.0,3.3,0.3,30.8,3.5,2.9,0.1,10.3
145,0.0,7.7,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Chris Polk,HOU",0.0,0.0,0.0,0.3,0.3,3.6,0.0,1.0
146,0.0,7.9,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Bishop Sankey,TEN",0.0,1.2,0.1,9.3,11.3,3.9,0.2,43.8
147,0.0,8.5,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Benny Cunningham,STL",0.0,0.1,0.0,1.1,0.2,4.2,0.0,0.7
148,0.0,7.1,,,0.0,0.2,0.0,0.0,,0.0,0.0,,"DeAngelo Williams,PIT",0.0,0.3,0.0,2.4,3.9,4.8,0.1,18.7
149,0.0,7.6,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Andre Williams,NYG",0.0,0.7,0.0,5.5,8.6,3.2,0.4,27.8
150,0.0,10.0,,,0.0,0.3,0.0,0.0,,0.0,0.0,,"Ryan Mathews,PHI",0.0,2.2,0.3,21.9,7.0,4.7,0.4,33.1
151,0.0,9.8,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Lorenzo Taliaferro,BAL",0.0,1.2,0.1,12.3,5.5,3.9,0.2,21.5
152,0.0,7.0,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Giovani Bernard,CIN",0.0,3.2,0.1,22.5,11.8,4.1,0.3,48.3
153,0.0,4.7,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Dri Archer,PIT",0.0,0.0,0.0,0.2,0.0,5.4,0.0,0.3
154,0.0,6.2,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Will Johnson,PIT",0.0,0.5,0.0,3.0,0.9,2.2,0.2,1.9
155,0.0,8.5,,,0.0,0.2,0.0,0.0,,0.0,0.0,,"Marshawn Lynch,SEA",0.0,1.8,0.1,14.9,11.1,4.8,0.3,52.9
156,0.0,5.8,,,0.0,0.2,0.0,0.0,,0.0,0.0,,"Doug Martin,TB",0.0,1.6,0.0,9.1,14.0,3.8,0.4,53.8
157,0.0,8.9,,,0.0,0.2,0.0,0.0,,0.0,0.0,,"Arian Foster,HOU",0.0,2.7,0.3,23.8,16.2,4.1,0.4,67.0
158,0.0,6.0,,,0.0,0.2,0.0,0.0,,0.0,0.0,,"Latavius Murray,OAK",0.0,2.9,0.1,17.3,16.2,3.9,0.5,62.6
159,0.0,9.4,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Ameer Abdullah,DET",0.0,2.6,0.2,24.4,13.5,3.2,0.3,43.5
160,0.0,9.5,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Eddie Lacy,GB",0.0,2.6,0.2,25.0,16.3,4.5,0.5,73.5
161,0.0,5.5,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Taiwan Jones,OAK",0.0,1.1,0.1,6.0,4.4,3.4,0.1,14.9
162,0.0,7.1,,,0.0,0.2,0.0,0.0,,0.0,0.0,,"James Starks,GB",0.0,1.4,0.1,10.0,7.7,4.2,0.2,32.5
163,0.0,11.0,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Devonta Freeman,ATL",0.0,2.9,0.1,31.7,10.3,4.0,0.7,41.7
164,0.0,8.2,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Cierre Wood,BUF",0.0,1.1,0.0,8.9,5.7,4.1,0.2,23.4
